word,pronunciation,meaning,description_en,example,word_type,collocation,related_words,note,deck_name,deck_tag
exorbitant,/ɪgˈzɔrbɪtənt/,cắt cổ,(of a price or amount charged) unreasonably high; far exceeding the bounds of reason or moderation.,The development of sustainable energy technologies is often hampered by the exorbitant initial investment required for research and infrastructure.,adjective,"the exorbitant, an exorbitant, at exorbitant","excessive, inordinate",,Economics,IELTS 7.5+
photosynthesis,/ˌfoʊtoʊˈsɪnθəsɪs/,quang hợp,"The process used by plants, algae, and certain bacteria to harness energy from sunlight and turn it into chemical energy, which is stored in carbohydrate molecules synthesized from carbon dioxide and water.","The intricate process of photosynthesis, in which light energy is converted into chemical energy in the form of sugars, is fundamental to sustaining life on Earth by producing organic matter and releasing oxygen into the atmosphere.",noun,"of photosynthesis, in photosynthesis, for photosynthesis","carbon assimilation, photochemical synthesis",,Biology,IELTS 7.5+
conspiracy,/kənˈspɪrəsi/,âm mưu,A secret plan by a group to do something unlawful or harmful.,Historical analysis of the Gunpowder Plot reveals a complex conspiracy orchestrated by a group of provincial English Catholics aiming to assassinate King James I and restore a Catholic monarch to the throne.,noun,"the conspiracy, a conspiracy, of conspiracy","plot, collusion",,Political Science,IELTS 7.5+
replica,/ˈrɛplɪkə/,bản sao,"An exact copy or model of something, especially one made on a smaller scale.","In paleontological studies, a high-fidelity replica of a fossil is often created for detailed analysis, preserving the original specimen from potential damage.",noun,"a replica, the replica, exact replica","copy, duplicate",,Art History,IELTS 7.5+
aspire,/əˈspaɪr/,khao khát,To have a strong desire or ambition to achieve something significant or of high value.,"Early sociologists like Émile Durkheim aspired to establish the field as a rigorous scientific discipline, distinct from both philosophy and psychology.",verb,"to aspire, not aspire, who aspire","strive, yearn",,Sociology,IELTS 7.5+
dubious,/ˈdubiəs/,đáng ngờ,Arousing doubt or suspicion; not to be relied upon; of questionable value or authenticity.,"The authenticity of the newly discovered historical document was considered dubious by leading experts, who pointed to anachronisms in the text and inconsistencies in the parchment's chemical composition.",adjective,"the dubious, a dubious, of dubious","questionable, doubtful",,History,IELTS 7.5+
revelation,/ˌrɛvəˈleɪʃən/,sự mặc khải,"A surprising and previously unknown fact, especially one that is made known in a dramatic way, often leading to a new understanding.",The archival documents led to the startling revelation that the renowned physicist had based his groundbreaking theory on the uncredited work of a lesser-known contemporary.,noun,"the revelation, of revelation, a revelation","disclosure, epiphany",,Philosophy,IELTS 7.5+
ingenious,/ˌɪnˈʤinjəs/,khéo léo,Characterized by cleverness or originality of invention or construction; cleverly and originally devised and well suited to its purpose.,"The Antikythera mechanism is an ancient Greek hand-powered orrery, described as the oldest known example of an analogue computer, used to predict astronomical positions and eclipses decades in advance with its ingenious and complex system of bronze gears.",adjective,"an ingenious, the ingenious, and ingenious","inventive, clever",,Engineering,IELTS 7.5+
relic,/ˈrɛlɪk/,thánh tích,"An object surviving from an earlier time, especially one of historical, cultural, or sentimental interest.","The Rosetta Stone, a relic of the Hellenistic period, proved to be the essential key to deciphering ancient Egyptian hieroglyphs, fundamentally transforming the field of Egyptology.",noun,"a relic, the relic, this relic","artifact, remnant",,History,IELTS 7.5+
epoch,/ˈɛpək/,kỷ nguyên,"A distinct period of time in history or in the geological timescale, characterized by particular events, people, or features.","The Pleistocene epoch, which lasted from about 2,580,000 to 11,700 years ago, is most notable for the repeated glaciations that covered large parts of the continents.",noun,"the epoch, an epoch, this epoch","era, age",,Geology,IELTS 7.5+
extravagant,/ɛkˈstrævəgənt/,ngông cuồng,Exceeding what is reasonable or appropriate; characterized by excessive and unrestrained spending or use of resources.,"The later Roman Empire's economic decline was partly attributed to the extravagant expenditures of emperors on public works and military campaigns, which strained the state's treasury.",adjective,"the extravagant, and extravagant, an extravagant","excessive, profligate",,Economics,IELTS 7.5+
overestimate,/ˌoʊvərˈɛstəˌmeɪt/,đánh giá quá cao,"To estimate something to be larger, better, or more important than it really is.","Initial economic models tended to overestimate the speed of market recovery following a recession, failing to account for persistent consumer uncertainty.",verb,"to overestimate, an overestimate, not overestimate","overvalue, overrate",,Economics,IELTS 7.5+
oblivious,/əˈblɪviəs/,quên,Lacking conscious awareness or mindfulness of something; failing to notice or be concerned about what is happening around one.,"Many early cognitive theorists, seemingly oblivious to the profound impact of emotional states on memory recall, focused exclusively on structural models of information processing.",adjective,"was oblivious, seemed oblivious, be oblivious","unaware, heedless",,Psychology,IELTS 7.5+
incoherent,/ˌɪnkoʊˈhɪrənt/,không mạch lạc,"Expressed in an incomprehensible or confusing way; lacking cohesion, connection, or logical consistency.","In patients with severe aphasia, verbal output may be so fragmented and grammatically unstructured that it becomes almost entirely incoherent to the listener.",adjective,"and incoherent, an incoherent, the incoherent","unintelligible, disjointed",,Psychology,IELTS 7.5+
linkage,/ˈlɪŋkɪʤ/,sự liên kết,"The action of linking or the state of being linked; a connection, relationship, or bond between two or more things, often in a systematic or causal way.",The principle of genetic linkage states that genes located close together on the same chromosome tend to be inherited together during the process of meiosis.,noun,"the linkage, of linkage, a linkage","connection, association",,Biology,IELTS 7.5+
sceptical,/sceptical*/,hoài nghi,Not easily convinced; having doubts or reservations about something.,A truly rational person remains sceptical of any proposition until it is supported by sufficient logical reasoning or empirical evidence.,adjective,"the sceptical, a sceptical, and sceptical","dubious, incredulous",,Philosophy,IELTS 7.5+
contagious,/kənˈteɪʤəs/,dễ lây lan,"Capable of being transmitted from one organism to another by direct or indirect contact; also used metaphorically to describe something that spreads rapidly, such as an idea or emotion.","Epidemiological models suggest that the new viral strain is highly contagious and can be transmitted through airborne particles, necessitating immediate public health interventions.",adjective,"a contagious, the contagious, of contagious","infectious, communicable",,Biology,IELTS 7.5+
renown,/rɪˈnaʊn/,danh tiếng,"The condition of being known or talked about by many people; fame, often for a positive achievement or quality.","Despite his later renown as a pioneer in microbiology, Louis Pasteur's initial theories were met with considerable skepticism from the established scientific community.",noun,"of renown, and renown, the renown","fame, acclaim",,History,IELTS 7.5+
